year,scenario,country,delta_electricity_MWh,delta_electrification_pct
2044,case_20251028_091411_var_uni,NO,0.0,0.0
2044,case_20251028_091502_uni_var,SE,0.0,0.0
2044,case_20251028_091502_uni_var,IT,0.0,0.0
2044,case_20251028_091502_uni_var,DE,0.0,0.0
2044,case_20251028_091502_uni_var,DK,0.0,0.0
2044,case_20251028_091502_uni_var,AT,0.0,0.0
2044,case_20251028_091502_uni_var,NO,0.0,0.0
2044,case_20251028_091635_uni_uni,SE,0.0,0.0
2044,case_20251028_091635_uni_uni,IT,0.0,0.0
2044,case_20251028_091635_uni_uni,DE,0.0,0.0
2044,case_20251028_091635_uni_uni,DK,0.0,0.0
2044,case_20251028_091635_uni_uni,AT,0.0,0.0
2044,case_20251028_091635_uni_uni,NO,0.0,0.0
2048,case_20251028_091411_var_uni,SE,0.0,0.0
2048,case_20251028_091411_var_uni,IT,0.0,0.0
2048,case_20251028_091411_var_uni,DE,0.0,0.0
2048,case_20251028_091411_var_uni,DK,0.0,0.0
2048,case_20251028_091411_var_uni,AT,0.0,0.0
2048,case_20251028_091411_var_uni,NO,0.0,0.0
2048,case_20251028_091502_uni_var,SE,0.0,0.0
2048,case_20251028_091502_uni_var,IT,0.0,0.0
2048,case_20251028_091502_uni_var,DE,0.0,0.0
2048,case_20251028_091502_uni_var,DK,0.0,0.0
2048,case_20251028_091502_uni_var,AT,0.0,0.0
2048,case_20251028_091502_uni_var,NO,0.0,0.0
2048,case_20251028_091635_uni_uni,SE,0.0,0.0
2048,case_20251028_091635_uni_uni,IT,0.0,0.0
2048,case_20251028_091635_uni_uni,DE,0.0,0.0
2048,case_20251028_091635_uni_uni,DK,0.0,0.0
2048,case_20251028_091635_uni_uni,AT,0.0,0.0
2048,case_20251028_091635_uni_uni,NO,0.0,0.0
2050,case_20251028_091411_var_uni,SE,0.0,0.0
2050,case_20251028_091411_var_uni,IT,0.0,0.0
2050,case_20251028_091411_var_uni,DE,0.0,0.0
2050,case_20251028_091411_var_uni,DK,0.0,0.0
2050,case_20251028_091411_var_uni,AT,0.0,0.0
2050,case_20251028_091411_var_uni,NO,0.0,0.0
2050,case_20251028_091502_uni_var,SE,0.0,0.0
2050,case_20251028_091502_uni_var,IT,0.0,0.0
2050,case_20251028_091502_uni_var,DE,0.0,0.0
2050,case_20251028_091502_uni_var,DK,0.0,0.0
2050,case_20251028_091502_uni_var,AT,0.0,0.0
2050,case_20251028_091502_uni_var,NO,0.0,0.0
2050,case_20251028_091635_uni_uni,SE,0.0,0.0
2050,case_20251028_091635_uni_uni,IT,0.0,0.0
2050,case_20251028_091635_uni_uni,DE,0.0,0.0
2050,case_20251028_091635_uni_uni,DK,0.0,0.0
2050,case_20251028_091635_uni_uni,AT,0.0,0.0
2050,case_20251028_091635_uni_uni,NO,0.0,0.0
