path_id,path_length,total_driving_time,num_drivers,break_number,event_type,event_name,latest_node_idx,latest_geo_id,cumulative_distance,cumulative_driving_time,time_with_breaks,charging_type,id
105,2030.230769230769,25.377884615384612,1,1,B,break,0,2,0.0,0.0,0.75,fast,237
106,1920.6833333333332,24.008541666666666,1,1,B,break,0,2,0.0,0.0,0.75,fast,242
107,2157.6000000000004,26.970000000000006,1,1,B,break,0,2,0.0,0.0,0.75,fast,247
108,1931.7329192546583,24.14666149068323,1,1,B,break,0,2,0.0,0.0,0.75,fast,252
109,1810.035433070866,22.625442913385825,1,1,B,break,0,2,0.0,0.0,0.75,fast,257
110,1606.3093525179856,20.078866906474822,1,1,B,break,0,2,0.0,0.0,0.75,fast,262
111,1342.6193548387098,16.782741935483873,1,1,B,break,0,2,0.0,0.0,0.75,fast,266
112,1662.9478827361563,20.786848534201955,1,1,B,break,0,2,0.0,0.0,0.75,fast,269
113,527.0,6.5875,1,1,B,break,0,2,0.0,0.0,0.75,fast,273
115,503.8700939975759,6.2983761749696985,1,1,B,break,0,3,0.0,0.0,0.75,fast,275
116,464.2290252337645,5.802862815422056,1,1,B,break,0,3,0.0,0.0,0.75,fast,276
117,470.1929824561403,5.877412280701754,1,1,B,break,0,3,0.0,0.0,0.75,fast,277
118,523.9754959159859,6.549693698949824,1,1,B,break,0,3,0.0,0.0,0.75,fast,278
119,429.5650950035186,5.369563687543982,1,1,B,break,0,3,0.0,0.0,0.75,fast,279
121,646.3885300450186,8.079856625562732,1,1,B,break,0,3,0.0,0.0,0.75,fast,281
122,516.883687535899,6.461046094198737,1,1,B,break,0,3,0.0,0.0,0.75,fast,282
123,666.8357810413885,8.335447263017356,1,1,B,break,0,3,0.0,0.0,0.75,fast,283
124,847.3133971291867,10.591417464114834,1,1,B,break,0,3,0.0,0.0,0.75,fast,284
125,825.8461538461538,10.323076923076922,1,1,B,break,0,3,0.0,0.0,0.75,fast,286
126,922.9631864815932,11.537039831019914,1,1,B,break,0,3,0.0,0.0,0.75,fast,288
127,1003.3111480865224,12.54138935108153,1,1,B,break,0,3,0.0,0.0,0.75,fast,290
128,1058.4444444444443,13.230555555555554,1,1,B,break,0,3,0.0,0.0,0.75,fast,292
129,1117.508527131783,13.968856589147288,1,1,B,break,0,3,0.0,0.0,0.75,fast,294
130,1290.5413105413106,16.131766381766383,1,1,B,break,0,3,0.0,0.0,0.75,fast,297
131,1263.44921875,15.793115234375,1,1,B,break,0,3,0.0,0.0,0.75,fast,300
132,1467.0,18.3375,1,1,B,break,0,3,0.0,0.0,0.75,fast,303
133,1830.7873684210526,22.884842105263157,1,1,B,break,0,3,0.0,0.0,0.75,fast,307
134,2012.216216216216,25.1527027027027,1,1,B,break,0,3,0.0,0.0,0.75,fast,312
135,1836.448275862069,22.955603448275863,1,1,B,break,0,3,0.0,0.0,0.75,fast,317
136,2112.4903846153848,26.40612980769231,1,1,B,break,0,3,0.0,0.0,0.75,fast,322
137,1910.5,23.88125,1,1,B,break,0,3,0.0,0.0,0.75,fast,327
138,1790.6803278688526,22.383504098360657,1,1,B,break,0,3,0.0,0.0,0.75,fast,332
139,1587.2542372881358,19.840677966101698,1,1,B,break,0,3,0.0,0.0,0.75,fast,336
140,1324.306859205776,16.5538357400722,1,1,B,break,0,3,0.0,0.0,0.75,fast,340
141,1638.8966789667895,20.48620848708487,1,1,B,break,0,3,0.0,0.0,0.75,fast,343
143,464.4089691370778,5.805112114213473,1,1,B,break,0,4,0.0,0.0,0.75,fast,348
144,669.4241662255162,8.367802077818952,1,1,B,break,0,4,0.0,0.0,0.75,fast,349
145,585.5705521472393,7.3196319018404905,1,1,B,break,0,4,0.0,0.0,0.75,fast,350
146,717.9404958677685,8.974256198347106,1,1,B,break,0,4,0.0,0.0,0.75,fast,351
147,577.8940781440782,7.223675976800978,1,1,B,break,0,4,0.0,0.0,0.75,fast,352
149,567.0919324577861,7.088649155722327,1,1,B,break,0,4,0.0,0.0,0.75,fast,354
150,737.674828483558,9.220935356044475,1,1,B,break,0,4,0.0,0.0,0.75,fast,355
151,712.6645783132531,8.908307228915664,1,1,B,break,0,4,0.0,0.0,0.75,fast,357
152,730.8576879053795,9.135721098817244,1,1,B,break,0,4,0.0,0.0,0.75,fast,358
153,879.1683673469388,10.989604591836734,1,1,B,break,0,4,0.0,0.0,0.75,fast,360
154,1058.5450980392156,13.231813725490195,1,1,B,break,0,4,0.0,0.0,0.75,fast,362
155,1038.9408284023668,12.986760355029585,1,1,B,break,0,4,0.0,0.0,0.75,fast,364
156,1132.6732223903177,14.158415279878971,1,1,B,break,0,4,0.0,0.0,0.75,fast,366
157,1218.5951557093426,15.232439446366783,1,1,B,break,0,4,0.0,0.0,0.75,fast,369
158,1270.8596491228072,15.885745614035091,1,1,B,break,0,4,0.0,0.0,0.75,fast,372
159,1329.7017142857142,16.621271428571426,1,1,B,break,0,4,0.0,0.0,0.75,fast,375
160,1508.750452079566,18.859380650994574,1,1,B,break,0,4,0.0,0.0,0.75,fast,378
161,1475.7932960893856,18.44741620111732,1,1,B,break,0,4,0.0,0.0,0.75,fast,382
162,1698.6494023904384,21.23311752988048,1,1,B,break,0,4,0.0,0.0,0.75,fast,386
163,1658.3535564853555,20.729419456066942,1,1,B,break,0,4,0.0,0.0,0.75,fast,390
164,1837.5384615384617,22.96923076923077,1,1,B,break,0,4,0.0,0.0,0.75,fast,394
165,1692.1916666666666,21.152395833333333,1,1,B,break,0,4,0.0,0.0,0.75,fast,399
166,1909.923076923077,23.87403846153846,1,1,B,break,0,4,0.0,0.0,0.75,fast,403
167,1735.938223938224,21.6992277992278,1,1,B,break,0,4,0.0,0.0,0.75,fast,408
168,1604.2174405436012,20.052718006795015,1,1,B,break,0,4,0.0,0.0,0.75,fast,412
169,1411.8187022900763,17.647733778625955,1,1,B,break,0,4,0.0,0.0,0.75,fast,416
170,1145.1385746606334,14.314232183257918,1,1,B,break,0,4,0.0,0.0,0.75,fast,419
171,1471.9424956871765,18.399281196089706,1,1,B,break,0,4,0.0,0.0,0.75,fast,422
172,450.48564929201245,5.631070616150156,1,1,B,break,0,5,0.0,0.0,0.75,fast,426
173,668.5446907817969,8.356808634772461,1,1,B,break,0,5,0.0,0.0,0.75,fast,427
174,519.4367816091955,6.492959770114943,1,1,B,break,0,5,0.0,0.0,0.75,fast,428
175,740.7681818181818,9.259602272727273,1,1,B,break,0,5,0.0,0.0,0.75,fast,429
176,595.0869744861069,7.438587181076336,1,1,B,break,0,5,0.0,0.0,0.75,fast,431
177,574.1988282680337,7.177485353350422,1,1,B,break,0,5,0.0,0.0,0.75,fast,432
178,637.8443076923077,7.973053846153846,1,1,B,break,0,5,0.0,0.0,0.75,fast,433
179,786.2708936698385,9.828386170872982,1,1,B,break,0,5,0.0,0.0,0.75,fast,434
180,779.4438775510204,9.743048469387755,1,1,B,break,0,5,0.0,0.0,0.75,fast,436
181,751.5586525307798,9.394483156634747,1,1,B,break,0,5,0.0,0.0,0.75,fast,438
182,899.1017164653528,11.23877145581691,1,1,B,break,0,5,0.0,0.0,0.75,fast,440
