year,scenario,country,infrastructure_type,ref_capacity_MW,case_capacity_MW,delta_capacity_MW,pct_change_capacity,ref_utilization_pct,case_utilization_pct,delta_utilization_pct
2040,case_20251028_091502_uni_var,IT,slow_charging_station,175.603954726,193.01884683400002,17.414892108000004,9.917141180090717,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,IT,fast_charging_station,126.927825233,127.07869919799998,0.15087396499998817,0.11886594978132692,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,NO,slow_charging_station,23.959363592000003,17.563749969,-6.395613623000003,-26.69358724175582,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,NO,fast_charging_station,20.998245378,20.998245378,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,SE,slow_charging_station,44.959503257,26.979562959000003,-17.979940298,-39.99141226098978,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,AT,slow_charging_station,160.79126240800005,125.35578363299999,-35.435478775000064,-22.03818680463137,0.562946524480228,0.7220798228655617,0.15913329838533374
2040,case_20251028_091635_uni_uni,AT,fast_charging_station,151.58298977100003,151.523689438,-0.05930033300003856,-0.039120704169791715,0.5971440626428626,0.5973777590584569,0.00023369641559434218
2040,case_20251028_091635_uni_uni,DE,slow_charging_station,284.13567473599994,306.8506919420001,22.71501720600014,7.994426334217071,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,DE,fast_charging_station,317.375189865,317.375658276,0.00046841100004257896,0.0001475890412989825,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,DK,slow_charging_station,48.195576969,50.354760193000004,2.159183224000003,4.480044352179489,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,IT,slow_charging_station,175.603954726,145.90839013399997,-29.69556459200004,-16.910532930955284,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,IT,fast_charging_station,126.927825233,126.429362326,-0.49846290699998974,-0.39271365918778406,0.0,0.0,0.0
