;Unnamed: 0;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
164;378;14086021;110020102;110010300;4;20724;16065;[('ES212', 'ES213', 'ES130')]
165;379;16720149;110020200;110010300;2;18825;9274;
166;380;11453515;110020101;110010300;1;15304;11863;[('ES211', 'ES213','ES130')]
167;381;11455137;110020102;110010300;1;15132;11730;[('ES212', 'ES213', 'ES130')]
168;382;16721771;110020300;110010300;2;11015;5426;
169;383;19375363;110040201;110010300;3;4476;1805;
170;384;11460003;110020300;110010300;1;4092;3172;
171;385;11458381;110020200;110010300;1;2804;2173;
172;386;14090887;110020300;110010300;4;1710;1326;
173;387;16744479;110040201;110010300;2;385;190;
174;388;11482711;110040201;110010300;1;100;77;
